"","Region","Province","CityProvince","Barangay","Population","HouseholdPopulation","Nhouseholds","Area","BrgyCount","BrgyArea","BrgyDensity"
"4488","MIMAROPA REGION","PALAWAN","ABORLAN","San Juan",3793,3793,1061,29606.25,1209,24.4882133995037,154.890842305257
"4476","MIMAROPA REGION","PALAWAN","ABORLAN","Aporawan",3403,3401,751,29606.25,1209,24.4882133995037,138.964813172894
"4485","MIMAROPA REGION","PALAWAN","ABORLAN","Plaridel",3297,3297,745,29606.25,1209,24.4882133995037,134.636200126662
"4486","MIMAROPA REGION","PALAWAN","ABORLAN","Ramon Magsaysay",2714,2714,602,29606.25,1209,24.4882133995037,110.828828372388
"4481","MIMAROPA REGION","PALAWAN","ABORLAN","Isaub",2466,2442,582,29606.25,1209,24.4882133995037,100.701507283091
"3886","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Cabacao",5730,5703,1402,29606.25,1209,24.4882133995037,233.990120329322
"3891","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Udalo (Camurong)",3944,3944,873,29606.25,1209,24.4882133995037,161.05707409753
"3887","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Lumangbayan",3527,3527,871,29606.25,1209,24.4882133995037,144.028473717543
"3885","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Balao",3347,3347,800,29606.25,1209,24.4882133995037,136.677998733376
"3892","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Wawa",3096,3096,679,29606.25,1209,24.4882133995037,126.428169727676
"13632","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Mabatang",9165,9143,2187,21906.19,2268,9.6588139329806,948.874267958052
"13629","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Capitangan",6742,6719,1563,21906.19,2268,9.6588139329806,698.015309827953
"13630","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Gabon",5405,5391,1333,21906.19,2268,9.6588139329806,559.592517000902
"13628","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Calaylayan (Pob.)",4833,4833,1162,21906.19,2268,9.6588139329806,500.37199531274
"13635","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Wawa (Pob.)",4389,4389,1032,21906.19,2268,9.6588139329806,454.403618338013
"11354","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Libertad",3874,3861,897,29836.88,1886,15.8201908801697,244.876944238137
"11353","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Guiddam",3317,3293,773,29836.88,1886,15.8201908801697,209.668772338127
"11355","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Lucban",2800,2800,639,29836.88,1886,15.8201908801697,176.989014937219
"11349","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Calog Sur",2527,2523,622,29836.88,1886,15.8201908801697,159.73258598084
"11351","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Centro (Pob.)",2395,2395,464,29836.88,1886,15.8201908801697,151.3888181338
"32561","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Balocawehay",3451,3451,855,23234.78,3102,7.49025789813024,460.731799483361
"32607","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Santo Niño (Pob.)",2789,2789,666,23234.78,3102,7.49025789813024,372.350329979453
"32616","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Victory (Pob.)",2649,2649,570,23234.78,3102,7.49025789813024,353.659384767146
"32570","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Cagbolo",2483,492,125,23234.78,3102,7.49025789813024,331.497264015411
"32559","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Balinsasayao",2305,2305,551,23234.78,3102,7.49025789813024,307.733062245479
"8051","REGION I - ILOCOS","ILOCOS NORTE","ADAMS","Adams (Pob.)",1792,1792,411,12964.62,2609,4.96919126101955,360.622062196964
"19328","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Poblacion II",2139,2139,554,16576.26,2968,5.58499326145552,382.990614288145
"19327","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Poblacion I",1675,1673,453,16576.26,2968,5.58499326145552,299.910836340646
"19319","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Ibabang Kinagunan",1496,1496,356,16576.26,2968,5.58499326145552,267.860663382452
"19321","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Kanlurang Calutan",1470,1470,344,16576.26,2968,5.58499326145552,263.205330997463
"19317","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Binagbag",1262,1262,302,16576.26,2968,5.58499326145552,225.96267191755
"13507","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","San Leonardo (Cabarroguis)",2352,2339,570,29836.88,1886,15.8201908801697,148.670772547264
"13500","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","Palacian",1988,1988,463,29836.88,1886,15.8201908801697,125.662200605425
"13499","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","Ligaya",1844,1844,430,29836.88,1886,15.8201908801697,116.559908408654
"13506","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","San Francisco",1836,1836,433,29836.88,1886,15.8201908801697,116.054225508833
"13511","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","Villa Santiago",1452,1452,383,29836.88,1886,15.8201908801697,91.7814463174434
"9954","REGION I - ILOCOS","PANGASINAN","AGNO","Bangan-Oda",3771,3771,878,12964.62,2609,4.96919126101955,758.876002536133
"9956","REGION I - ILOCOS","PANGASINAN","AGNO","Boboy",3311,3311,728,12964.62,2609,4.96919126101955,666.305607106109
"9953","REGION I - ILOCOS","PANGASINAN","AGNO","Aloleng",2560,2560,637,12964.62,2609,4.96919126101955,515.174374567091
"9960","REGION I - ILOCOS","PANGASINAN","AGNO","Macaboboni",2428,2428,582,12964.62,2609,4.96919126101955,488.610695878475
"9957","REGION I - ILOCOS","PANGASINAN","AGNO","Cayungnan",2119,2119,501,12964.62,2609,4.96919126101955,426.427538948307
"16747","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Subic Ibaba",3987,3973,716,16576.26,2968,5.58499326145552,713.877316113526
"16748","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Subic Ilaya",3833,3833,812,16576.26,2968,5.58499326145552,686.303424294745
"16735","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Coral Na Munti",3803,3793,792,16576.26,2968,5.58499326145552,680.931886927449
"16749","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Banyaga",3051,3051,619,16576.26,2968,5.58499326145552,546.285350253917
"16742","REGION IV-A – CALABARZON","BATANGAS","AGONCILLO","Pook",2697,2697,572,16576.26,2968,5.58499326145552,482.901209319835
"9408","REGION I - ILOCOS","LA UNION","AGOO","San Nicolas West",2710,2687,540,12964.62,2609,4.96919126101955,545.360373076882
"9385","REGION I - ILOCOS","LA UNION","AGOO","San Agustin East",2387,2190,494,12964.62,2609,4.96919126101955,480.359856285799
"9389","REGION I - ILOCOS","LA UNION","AGOO","San Antonio",2372,2311,556,12964.62,2609,4.96919126101955,477.34125643482
"9391","REGION I - ILOCOS","LA UNION","AGOO","San Isidro",2082,2082,459,12964.62,2609,4.96919126101955,418.981659315892
"9403","REGION I - ILOCOS","LA UNION","AGOO","San Marcos",2072,2072,467,12964.62,2609,4.96919126101955,416.969259415239
"9976","REGION I - ILOCOS","PANGASINAN","AGUILAR","Ninoy",3810,3799,810,12964.62,2609,4.96919126101955,766.724362148678
"9977","REGION I - ILOCOS","PANGASINAN","AGUILAR","Poblacion",3505,3496,815,12964.62,2609,4.96919126101955,705.346165178771
"9970","REGION I - ILOCOS","PANGASINAN","AGUILAR","Baybay",3455,3455,721,12964.62,2609,4.96919126101955,695.284165675508
"9982","REGION I - ILOCOS","PANGASINAN","AGUILAR","Laoag",3413,3413,659,12964.62,2609,4.96919126101955,686.832086092766
"9974","REGION I - ILOCOS","PANGASINAN","AGUILAR","Buer",3245,3245,681,12964.62,2609,4.96919126101955,653.023767761801
"3203","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Ubao",2648,2643,614,19818.12,1079,18.3671177015755,144.170688238844
"3199","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Mongayang",2088,2088,499,19818.12,1079,18.3671177015755,113.681418822774
"3195","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Halag",1783,1783,431,19818.12,1079,18.3671177015755,97.0756560158078
"3200","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Posnaan",1458,1458,362,19818.12,1079,18.3671177015755,79.3809907296959
"3192","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","AGUINALDO","Chalalo",1448,1448,317,19818.12,1079,18.3671177015755,78.8365394901232
"4493","MIMAROPA REGION","PALAWAN","AGUTAYA","Algeciras",4584,4573,1137,29606.25,1209,24.4882133995037,187.192096263458
"4494","MIMAROPA REGION","PALAWAN","AGUTAYA","Concepcion",3813,3783,812,29606.25,1209,24.4882133995037,155.707561747942
"4495","MIMAROPA REGION","PALAWAN","AGUTAYA","Diit",1064,1064,295,29606.25,1209,24.4882133995037,43.449474350855
"4502","MIMAROPA REGION","PALAWAN","AGUTAYA","Villasol",861,861,225,29606.25,1209,24.4882133995037,35.1597720075997
"4501","MIMAROPA REGION","PALAWAN","AGUTAYA","Villafria",516,516,135,29606.25,1209,24.4882133995037,21.0713616212793
"27520","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Culasi",4617,4607,1001,12773.46,2724,4.68922907488987,984.596812453321
"27533","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Poblacion",3662,3618,867,12773.46,2724,4.68922907488987,780.938602383379
"27523","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Malayu-an",3335,3335,803,12773.46,2724,4.68922907488987,711.204325218069
"27522","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Luca",3113,3113,674,12773.46,2724,4.68922907488987,663.861788426942
"27529","REGION VI - WESTERN VISAYAS","ILOILO","AJUY","Pili",2941,2811,718,12773.46,2724,4.68922907488987,627.181985147329
"147","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Semut",4483,4483,755,36650.95,2081,17.6121816434407,254.539732257963
"142","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Linongan",2454,2454,395,36650.95,2081,17.6121816434407,139.33537875553
"149","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Upper Sinangkapan",2135,2135,344,36650.95,2081,17.6121816434407,121.22291509497
"143","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Lower Bato-bato",1823,1823,264,36650.95,2081,17.6121816434407,103.50790361505
"146","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AKBAR","Paguengan",1649,1649,249,36650.95,2081,17.6121816434407,93.6283779820168
"156","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Guinanta",2111,2111,372,36650.95,2081,17.6121816434407,119.860221904207
