"","Region","Province","CityProvince","CityPopulation","CityArea","CityDensity"
"36","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","LANAO DEL SUR","MARAWI CITY (Capital)",201785,313.255982905983,644.153698608085
"91","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","SULU","JOLO (Capital)",125564,313.255982905983,400.835121599849
"108","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","TAWI-TAWI","BONGAO (Capital)",100527,313.255982905983,320.910071908095
"61","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ODIN SINSUAT (DINAIG)",99210,313.255982905983,316.705842549784
"83","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","SULTAN KUDARAT (NULING)",95201,313.255982905983,303.908002384659
"154","CORDILLERA ADMINISTRATIVE REGION","BENGUET","BAGUIO CITY",345366,257.378181818182,1341.86199296401
"162","CORDILLERA ADMINISTRATIVE REGION","BENGUET","LA TRINIDAD (Capital)",129133,257.378181818182,501.724734737705
"179","CORDILLERA ADMINISTRATIVE REGION","KALINGA","CITY OF TABUK (Capital)",110642,257.378181818182,429.881038161036
"158","CORDILLERA ADMINISTRATIVE REGION","BENGUET","ITOGON",59820,257.378181818182,232.420633238672
"119","CORDILLERA ADMINISTRATIVE REGION","ABRA","BANGUED (Capital)",48163,257.378181818182,187.129303889572
"245","MIMAROPA REGION","PALAWAN","PUERTO PRINCESA CITY (CAPITAL)",255116,435.386029411765,585.953573991978
"211","MIMAROPA REGION","OCCIDENTAL MINDORO","SAN JOSE",143430,435.386029411765,329.431792273591
"217","MIMAROPA REGION","ORIENTAL MINDORO","CITY OF CALAPAN (Capital)",133893,435.386029411765,307.527093096897
"220","MIMAROPA REGION","ORIENTAL MINDORO","NAUJAN",102998,435.386029411765,236.567076208571
"221","MIMAROPA REGION","ORIENTAL MINDORO","PINAMALAYAN",86172,435.386029411765,197.920911969601
"284","NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","QUEZON CITY",2936116,36.4435294117647,80566.1813603641
"274","NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","CITY OF MANILA",1780148,36.4435294117647,48846.7508151209
"269","NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","CALOOCAN CITY",1583978,36.4435294117647,43463.9022500565
"285","NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","TAGUIG CITY",804915,36.4435294117647,22086.6368596055
"279","NATIONAL CAPITAL REGION","NATIONAL CAPITAL REGION","CITY OF PASIG",755300,36.4435294117647,20725.2154824547
"286","NEGROS ISLAND REGION","NEGROS OCCIDENTAL","BACOLOD CITY (Capital)",561875,235.533333333333,2385.54344749505
"295","NEGROS ISLAND REGION","NEGROS OCCIDENTAL","CITY OF KABANKALAN",181977,235.533333333333,772.616756297764
"287","NEGROS ISLAND REGION","NEGROS OCCIDENTAL","BAGO CITY",170981,235.533333333333,725.931219926408
"289","NEGROS ISLAND REGION","NEGROS OCCIDENTAL","CADIZ CITY",154723,235.533333333333,656.904896688367
"311","NEGROS ISLAND REGION","NEGROS OCCIDENTAL","SAGAY CITY",146264,235.533333333333,620.990659496179
"453","REGION I - ILOCOS","PANGASINAN","SAN CARLOS CITY",188571,108.946386554622,1730.86052657155
"438","REGION I - ILOCOS","PANGASINAN","DAGUPAN CITY",171271,108.946386554622,1572.06682494358
"437","REGION I - ILOCOS","PANGASINAN","CITY OF URDANETA",132940,108.946386554622,1220.23321933076
"445","REGION I - ILOCOS","PANGASINAN","MALASIQUI",130275,108.946386554622,1195.77164621871
"409","REGION I - ILOCOS","LA UNION","CITY OF SAN FERNANDO (Capital)",121812,108.946386554622,1118.09123599458
"501","REGION II - CAGAYAN VALLEY","CAGAYAN","TUGUEGARAO CITY (Capital)",211161,327.877802197802,644.023470282416
"517","REGION II - CAGAYAN VALLEY","ISABELA ","ILAGAN CITY",145568,327.877802197802,443.970281074965
"510","REGION II - CAGAYAN VALLEY","ISABELA ","CITY OF SANTIAGO",134830,327.877802197802,411.220275042163
"509","REGION II - CAGAYAN VALLEY","ISABELA ","CITY OF CAUAYAN",129523,327.877802197802,395.034366864096
"479","REGION II - CAGAYAN VALLEY","CAGAYAN","BAGGAO",82782,327.877802197802,252.478208177262
"589","REGION III - CENTRAL LUZON","BULACAN","CITY OF SAN JOSE DEL MONTE",574089,171.142109375,3354.45789523418
"636","REGION III - CENTRAL LUZON","PAMPANGA","ANGELES CITY",411634,171.142109375,2405.2175207099
"662","REGION III - CENTRAL LUZON","TARLAC","CITY OF TARLAC (Capital)",342493,171.142109375,2001.21992916158
"641","REGION III - CENTRAL LUZON","PAMPANGA","CITY OF SAN FERNANDO (Capital)",306659,171.142109375,1791.83837992823
"606","REGION III - CENTRAL LUZON","NUEVA ECIJA","CABANATUAN CITY",302231,171.142109375,1765.96514501152
"823","REGION IV-A – CALABARZON","RIZAL ","CITY OF ANTIPOLO",776386,117.562127659574,6604.04856101437
"729","REGION IV-A – CALABARZON","CAVITE","CITY OF DASMARIÑAS",659019,117.562127659574,5605.70834434305
"726","REGION IV-A – CALABARZON","CAVITE","BACOOR CITY",600609,117.562127659574,5108.86466549149
"753","REGION IV-A – CALABARZON","LAGUNA","CITY OF CALAMBA",454486,117.562127659574,3865.92186657304
"733","REGION IV-A – CALABARZON","CAVITE","IMUS CITY",403785,117.562127659574,3434.65202645229
"887","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL SUR","ZAMBOANGA CITY",861799,234.778194444444,3670.69438471181
"876","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL SUR","PAGADIAN CITY (Capital)",199060,234.778194444444,847.864089214229
"836","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL NORTE","DIPOLOG CITY (Capital)",130759,234.778194444444,556.946952886383
"832","REGION IX - ZAMBOANGA PENINSULA","CITY OF ISABELA","NAVAL (Capital)",112788,234.778194444444,480.402365589744
"856","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL NORTE","SINDANGAN",99435,234.778194444444,423.527407369722
"911","REGION V - BICOL","ALBAY","LEGAZPI CITY (Capital)",196639,161.736339285714,1215.79974462405
"957","REGION V - BICOL","CAMARINES SUR","NAGA CITY",196003,161.736339285714,1211.86741869897
"1008","REGION V - BICOL","SORSOGON","CITY OF SORSOGON (Capital)",168110,161.736339285714,1039.40772211387
"907","REGION V - BICOL","ALBAY","CITY OF TABACO",133868,161.736339285714,827.692778204386
"908","REGION V - BICOL","ALBAY","DARAGA (LOCSIN)",126595,161.736339285714,782.724529064334
"1096","REGION VI - WESTERN VISAYAS","ILOILO","ILOILO CITY",447992,126.469900990099,3542.28157445203
"1066","REGION VI - WESTERN VISAYAS","CAPIZ","ROXAS CITY (Capital)",167003,126.469900990099,1320.4960128266
"1106","REGION VI - WESTERN VISAYAS","ILOILO","OTON",89115,126.469900990099,704.63406156202
